sample_id,A1_cm2,A2_cm2,A3_cm2,A4_cm2,A5_cm2,A6_cm2,A7_cm2,A8_cm2,A9_cm2,A10_cm2,E_GPa,P2_kN,P4_kN,density_kg_m3,mass_kg,max_disp_mm,v_node2_mm,v_node4_mm,max_abs_stress_MPa,stress1_MPa,stress2_MPa,stress3_MPa,stress4_MPa,stress5_MPa,stress6_MPa,stress7_MPa,stress8_MPa,stress9_MPa,stress10_MPa,split
2141,29.417,122.764,137.334,77.0566,196.842,151.69,225.143,90.4217,180.346,112.141,116.576,306.782,422.867,6148.16,8854.56,33.1066,-31.8674,-11.8744,131.262,131.262,10.9948,-69.6901,-22.2958,-4.69685,8.89823,40.8479,-12.4106,13.4723,-17.0221,train
2142,175.736,105.309,208.293,19.417,148.975,118.692,23.4166,71.7389,19.1862,114.328,107.235,294.46,420.499,4679.83,4706.34,38.1024,-37.7886,-23.4703,125.562,45.6089,21.8556,-24.1183,-33.1156,29.7199,19.3914,125.562,-99.9572,47.396,-28.4704,train
2143,192.76,192.783,92.6437,149.237,69.3643,145.61,180.812,192.349,193.263,111.968,164.673,507.11,442.711,6420.65,10578.4,21.4549,-20.3428,-8.9491,98.1907,54.6983,7.27009,-98.1907,-24.5888,25.9933,9.62534,31.4864,-40.236,26.8522,-17.7022,train
2144,48.1672,178.624,107.693,3.24139,225.551,176.631,93.2722,65.5866,31.32,67.6018,159.534,225.787,265.791,6564.57,6629.7,23.7056,-22.352,-8.78536,85.773,79.5834,11.0839,-51.983,-85.773,5.75222,11.2089,50.6468,-33.9705,12.5538,-41.4178,train
2145,200.944,54.8683,27.9748,117.526,7.696,174.993,15.3269,123.312,223.761,90.0054,183.414,393.939,584.975,6297.83,7047.54,34.1764,-31.7817,-25.0371,255.14,60.1561,-40.9284,-199.462,-52.627,255.14,-12.8329,151.37,-93.4531,39.0908,35.2852,train
2146,114.711,145.791,71.1096,60.4549,224.877,42.0538,218.123,36.7849,130.897,151.197,162.955,495.73,213.078,6558.97,8507.08,30.954,-29.1149,-11.6788,141.726,60.3655,15.1007,-141.726,-45.5835,-3.50609,52.3508,33.2008,-75.6341,29.7731,-20.5921,test
2147,148.359,222.88,66.9489,211.195,203.885,133.01,23.8738,49.3504,180.926,140.909,79.5813,331.035,266.662,6853.82,9682.55,53.6691,-52.7189,-34.0276,118.289,50.1361,4.96123,-77.0665,-10.4386,9.43283,8.31339,109.54,-118.289,17.2323,-11.0978,train
2148,24.2488,39.3959,5.26923,120.351,60.1882,137.946,220.139,45.0257,207.115,81.7704,182.209,477.046,541.675,7016.32,7512.46,159.329,-147.415,-59.5051,1167.95,559.777,9.06353,-1167.95,-36.6712,72.939,2.58845,8.88948,-276.508,30.1353,-6.17542,train
2149,86.6485,159.754,83.0406,200.915,188.385,124.036,196.795,160.388,170.467,156.784,65.1736,362.83,305.774,6203.51,10271.3,50.5038,-48.6037,-19.3197,86.5505,77.9635,8.55059,-86.5505,-11.26,4.59066,11.0128,25.5751,-27.5733,18.7684,-12.3214,train
2150,67.7461,29.8525,131.792,217.344,70.2112,28.9206,128.011,132.491,219.23,47.262,125.94,472.403,213.463,4223.06,4985.86,31.1758,-30.5599,-11.2658,111.637,111.637,22.9799,-66.3456,-18.579,-17.0787,23.7203,44.4087,-30.3025,26.0485,-20.5273,train
