sample_id,r_inner_mm,wall_ratio_ro_ri,p_internal_MPa,p_external_MPa,E_GPa,poisson,yield_MPa,hoop_stress_inner_MPa,hoop_stress_outer_MPa,axial_stress_MPa,von_mises_inner_MPa,tresca_inner_MPa,radial_disp_inner_um,radial_disp_outer_um,safety_factor_vm,split
111,193.846,2.75061,44.2483,1.23361,123.12,0.343705,550.397,54.8835,11.8689,5.31763,85.8506,99.1318,107.478,45.3215,6.4111,train
112,104.103,1.51433,98.4851,12.4302,88.1057,0.311216,326.903,206.713,120.658,54.1141,264.31,305.198,260.562,192.68,1.23682,train
113,83.9902,2.44046,20.021,9.97001,124.239,0.330454,830.711,4.13725,-5.91379,-7.9419,20.9217,24.1583,9.04386,0.0086908,39.7057,test
114,114.725,1.20495,107.574,26.753,131.377,0.31182,490.677,411.753,330.932,152.089,449.751,519.327,347.443,307.093,1.091,train
115,138.594,1.6271,122.264,5.32098,207.9,0.271723,684.668,253.591,136.648,65.6635,325.5,375.855,179.306,130.435,2.10344,test
116,68.1801,2.50392,48.0164,19.9086,154.664,0.338707,601.81,18.8671,-9.24071,-14.5746,57.9229,66.8836,17.6627,2.69214,10.3899,test
117,104.184,2.42605,8.63812,5.54816,103.331,0.338798,734.555,-1.19329,-4.28326,-4.91571,6.44741,7.44483,3.42675,-1.80549,113.93,train
118,172.139,2.84062,20.4238,15.4468,124.369,0.339152,876.947,-9.06164,-14.0387,-14.7427,9.83992,11.3622,3.96564,-14.9399,89.1213,train
119,59.6477,2.92396,60.5804,8.0515,140.326,0.295878,456.351,58.3931,5.86423,-1.09363,103.034,118.973,32.5774,10.6515,4.42913,train
120,170.745,2.19664,131.05,9.04808,115.748,0.332204,799.796,176.742,54.74,22.8459,266.556,307.792,313.746,162.525,3.00048,train
121,134.217,1.24831,102.68,11.574,132.768,0.314852,355.451,405.92,314.814,151.62,440.46,508.599,394.771,341.628,0.807,train
122,198.658,1.8058,96.9357,20.9327,167.517,0.268121,336.096,122.302,46.2991,12.6832,189.866,219.238,171.826,103.886,1.77018,train
123,103.782,2.87453,28.0754,22.6225,98.6007,0.299507,496.101,-15.668,-21.121,-21.8717,10.7451,12.4074,-0.745705,-23.5832,46.1698,train
