sample_id,diameter_mm,length_mm,k_W_mK,h_W_m2K,T_base_C,T_inf_C,heat_rate_W,T_tip_C,fin_efficiency,fin_effectiveness,biot_number,split
1064,3.75096,35.379,21.2518,13.5125,106.868,30.8811,0.342834,82.1877,0.780211,30.2159,0.000596243,train
1065,13.9632,64.7503,49.3073,10.4499,83.1507,7.90378,2.15457,73.6615,0.915331,17.8936,0.000739822,train
1066,4.52965,111.922,90.6756,59.0002,296.833,9.34242,9.98084,47.4453,0.365752,36.515,0.00073683,train
1067,12.2827,124.63,55.0827,14.7244,121.816,33.4905,4.46988,82.6385,0.697485,29.0064,0.000820836,test
1068,10.9192,66.317,26.6971,8.18966,230.867,31.9368,3.29108,187.41,0.852876,21.5724,0.000837401,test
1069,11.9446,135.596,364.171,5.5153,199.494,36.7254,4.52249,191.88,0.96875,44.9581,4.52246e-05,train
1070,13.2797,41.6843,42.3734,105.476,246.14,6.53332,32.4728,135.836,0.684342,9.27678,0.00826401,test
1071,18.6827,132.442,24.0603,12.2046,120.627,11.2528,6.70199,60.872,0.623874,18.3144,0.00236921,train
1072,7.51767,124.549,45.9668,324.76,238.703,9.42633,28.6818,9.62475,0.129005,8.67819,0.0132783,test
1073,11.1026,97.3969,183.742,21.1752,263.01,34.235,14.9108,222.457,0.88093,31.7925,0.000319877,train
1074,12.6234,133.954,271.417,33.1796,155.199,11.3295,21.073,115.095,0.811878,35.2731,0.00038579,train
1075,13.23,132.663,98.1758,10.6778,295.672,23.6289,13.7387,229.808,0.836903,34.4048,0.00035973,test
1076,9.16181,135.78,35.1376,35.6422,201.319,18.4147,8.86305,38.3927,0.342108,20.6226,0.00232334,train
1077,18.4683,140.604,16.4103,9.95235,103.104,27.0552,3.56641,54.8899,0.559254,17.5903,0.00280012,test
1078,11.8276,146.053,72.3833,78.2766,191.375,32.3573,24.0236,50.7268,0.348577,17.5661,0.00319765,train
1079,11.3692,60.8507,126.865,27.5058,294.207,8.38268,16.2433,255.122,0.908202,20.3519,0.000616242,test
1080,13.1286,112.241,362.409,7.70023,157.173,27.2308,4.6348,151.76,0.972164,34.2176,6.97369e-05,train
1081,12.519,132.072,244.252,5.39081,87.004,1.50652,2.35067,81.7775,0.959138,41.4337,6.90758e-05,train
1082,16.6811,58.05,63.7432,66.5252,61.5782,37.287,4.04147,53.2512,0.767006,11.4437,0.00435228,train
1083,2.05418,143.235,321.524,67.415,80.2034,5.33032,1.60244,13.5079,0.342221,95.793,0.000107677,test
1084,7.48948,25.7411,227.118,7.46153,212.005,26.4663,0.895476,210.776,0.995565,14.6824,6.15133e-05,test
1085,8.04949,136.456,17.5684,64.9843,290.543,11.7928,10.6844,13.2704,0.168446,11.5905,0.00744364,train
1086,10.4068,74.815,32.1404,18.616,110.693,34.9608,2.53144,78.4001,0.709411,21.1093,0.00150693,train
1087,8.03756,42.9221,89.7882,83.6857,189.754,29.2159,11.7773,135.919,0.772665,17.2774,0.00187282,train
1088,15.7194,16.038,192.801,9.08715,84.4836,7.06451,0.692641,84.3061,0.998421,5.07304,0.000185223,test
1089,17.8842,24.5628,26.0389,24.3936,162.338,38.2069,4.66873,152.363,0.945188,6.13781,0.00418855,train
1090,19.069,48.5736,17.636,6.96754,198.378,16.991,3.74864,179.061,0.928214,10.3858,0.00188342,train
1091,11.7186,28.8654,287.621,140.337,211.133,20.095,29.7328,196.232,0.947453,10.2826,0.00142945,train
1092,15.0278,108.556,209.306,5.00543,226.317,15.2457,5.45673,218.126,0.974069,29.1196,8.98448e-05,train
1093,9.26936,122.495,51.8354,39.1826,215.654,8.94582,12.7745,51.8999,0.433946,23.3724,0.00175168,train
1094,8.45316,54.3295,163.097,377.894,295.226,14.2647,81.1946,99.1471,0.510192,13.6264,0.00489646,test
1095,18.6987,86.2618,312.987,9.51388,85.596,8.65125,3.84192,83.5779,0.982456,19.1117,0.000142096,train
1096,6.48297,17.4823,15.1765,206.7,204.691,10.5861,8.39374,76.6618,0.537715,6.33784,0.0220741,train
1097,4.12244,31.3962,95.6633,17.583,72.7358,3.69221,0.480183,66.738,0.941851,29.6341,0.000189427,test
1098,16.2268,69.493,347.03,341.395,159.043,29.4601,118.208,104.472,0.71265,12.9207,0.00399084,train
1099,7.56303,52.1915,66.1952,15.8398,54.6721,38.5489,0.292894,52.091,0.892504,25.5288,0.000452437,test
1100,8.63253,68.6092,314.663,107.003,116.079,2.53986,18.6508,82.459,0.7999,26.2295,0.000733883,train
1101,6.08454,94.6338,112.602,51.2853,276.475,4.59289,14.3363,104.054,0.559388,35.3604,0.000692813,train
1102,17.9949,70.1089,115.063,5.9099,297.632,6.35818,7.11052,288.648,0.979346,16.2416,0.000231066,train
1103,9.15442,38.0378,30.026,89.3202,221.454,1.84881,14.0275,99.4786,0.61662,10.8652,0.00680805,train
